Index,Electoral District,Seats
1,adana,15
2,adiyaman,5
3,afyonkarahi̇sar,6
4,agri,4
5,amasya,3
6,ankara-1,13
7,ankara-2,11
8,ankara-3,12
9,antalya,17
10,artvi̇n,2
11,aydin,8
12,balikesi̇r,9
13,bi̇leci̇k,2
14,bingol,3
15,bi̇tli̇s,3
16,bolu,3
17,burdur,3
18,bursa-1,10
19,bursa-2,10
20,çanakkale,4
21,çankiri,2
22,çorum,4
23,deni̇zli̇,7
24,di̇yarbakir,12
25,edi̇rne,4
26,elazig,5
27,erzi̇ncan,2
28,erzurum,6
29,eskisehir,6
30,gazi̇antep,14
31,gi̇resun,4
32,gumushane,2
33,hakkari̇,3
34,hatay,11
35,isparta,4
36,mersi̇n,13
37,istanbul-(i),35
38,istanbul-(ii),27
39,istanbul-(iii),36
40,izmir-(i),14
41,izmir-(ii),14
42,kars,3
43,kastamonu,3
44,kayseri̇,10
45,kirklareli̇,3
46,kirşehi̇r,2
47,kocaeli̇,14
48,konya,15
49,kütahya,5
50,malatya,6
51,mani̇sa,10
52,kahramanmaraş,8
53,mardi̇n,6
54,muğla,7
55,muş,3
56,nevşehi̇r,3
57,ni̇ğde,3
58,ordu,6
59,ri̇ze,3
60,sakarya,8
61,samsun,9
62,si̇i̇rt,3
63,si̇nop,2
64,si̇vas,5
65,tekirdag,8
66,tokat,5
67,trabzon,6
68,tunceli̇,1
69,şanliurfa,14
70,uşak,3
71,van,8
72,yozgat,4
73,zonguldak,5
74,aksaray,4
75,bayburt,1
76,karaman,3
77,kirikkale,3
78,batman,5
79,şirnak,4
80,bartin,2
81,ardahan,2
82,igdir,2
83,yalova,3
84,karabük,3
85,ki̇li̇s,2
86,osmani̇ye,4
87,düzce,3
